"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"VALUE";
"C1";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C2";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C3";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C4";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C5";"0.1uF";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C6";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C8";"0.1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C9";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C10";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C11";"1uF";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C13";"";"CPOL-USD";"PANASONIC_D";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";
"C108";"100nF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C109";"100nF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C300";"10uF";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";"";
"C301";"10u";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"";"";"";
"D1";"";"LEDSML0805";"SML0805";"LED";"";"";"";"";"";"";
"D2";"";"LEDSML0805";"SML0805";"LED";"";"";"";"";"";"";
"I2C_SERIAL2USB";"22-23-2081";"22-23-2081";"22-23-2081";".100" (2.54mm) Center Header - 8 Pin";"MOLEX";"22-23-2081";"1756826";"01C7592";"";"";
"IC1";"LD117AS18TR";"LD117AS18TR";"SOT223";"Low drop fixed and adjustable positive voltage regulators 1 A";"";"";"";"";"";"";
"J201";"PDI";"AVR-ISP-6";"AVR-ISP-6";"PDI Interface for XMEGA";"";"";"";"";"";"";
"L1";"";"0603INDUCTOR";"R0603";"INDUCTOR, American symbol";"";"";"";"";"";"";
"L2";"";"0603INDUCTOR";"R0603";"INDUCTOR, American symbol";"";"";"";"";"";"";
"METHANE_CHEMIRESISTOR";"22-23-2081";"22-23-2081";"22-23-2081";".100" (2.54mm) Center Header - 8 Pin";"MOLEX";"22-23-2081";"1756826";"01C7592";"";"";
"R1";"82R";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R2";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R3";"5k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R4";"27";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R5";"130";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R6";"820";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R7";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R8";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R9";"820R";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R10";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R11";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R12";"5k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R13";"5k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R14";"330";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";
"R15";"330";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";
"R16";"330";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";
"R17";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"R18";"4.7k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";
"R19";"2.7k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"";"";"";
"R20";"10k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";"";"";"";"";"";
"U$2";"MICS-2614-SMD8";"MICS-2614-SMD8";"MICS-2614-SMD8";"MICS-6814, NO2, NH3, CO";"";"";"";"";"";"";
"U$3";"MICS-6814-SMD8";"MICS-6814-SMD8";"MICS-6814-SMD8";"MICS-6814, NO2, NH3, CO";"";"";"";"";"";"";
"U$4";"PTH";"PTH";"PTHSENSOR";"PTH Sensor from Measurement Specialties";"";"";"";"";"";"";
"U$5";"MP-7217";"MP-7217";"MP-7217";"Methane Sensor (Pellistor)";"";"";"";"";"";"";
"U2";"ATMEGA328P_TQFP";"ATXMEGA32E5";"ATXMEGA32E5";"Microcontroller by Atmel";"";"";"";"";"IC-09069";"ATMEGA328P_TQFP";
"U3";"HTU21DSMD";"HTU21DSMD";"HTU21D";"";"";"";"";"";"IC-11793";"";
"U4";"AP2202-ADJ";"AP7331";"AP7331";"3V Voltage Regulator from Diodes, Inc.";"";"";"";"";"VREG-12189";"AP2202-ADJ";
"X1";"MICS";"22-23-2061";"22-23-2061";".100" (2.54mm) Center Header - 6 Pin";"MOLEX";"22-23-2061";"1462922";"27C1933";"";"";
"X2";"22-23-2041";"22-23-2041";"22-23-2041";".100" (2.54mm) Center Header - 4 Pin";"MOLEX";"22-23-2041";"1462920";"38C0355";"";"";
"X4";"MINI-USB-32005-201";"MINI-USB-32005-201";"32005-201";"MINI USB-B Conector";"";"";"unknown";"unknown";"";"";
"X9";"Particle";"22-23-2061";"22-23-2061";".100" (2.54mm) Center Header - 6 Pin";"MOLEX";"22-23-2061";"1462922";"27C1933";"";"";
"X12";"Serial to BLE";"22-23-2061";"22-23-2061";".100" (2.54mm) Center Header - 6 Pin";"MOLEX";"22-23-2061";"1462922";"27C1933";"";"";
